GROUP,CUST,MAKER,VENDOR_ID,STYLE,IE,CPO,EXP_DATE,COLOR_CODE,SIZE_CODE,CPO_QTY,ACC_QTY,CUTTING,SEWING,RECEIVING,PACKING,OE_FOLDERID,SHIP_CPO_ID,ERP_COLOR_ID,ERP_SIZE_ID,create_time
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,S,163,163,,,,,4800818,2359442,513861,799504,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,L,56,56,,,,,4800818,2359442,513861,799505,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,XL,40,40,,,,,4800818,2359442,513861,799506,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,XS,89,89,,,,,4800818,2359442,513861,799507,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,XXS,11,11,,,,,4800818,2359442,513861,799508,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,M,141,141,,,,,4800818,2359442,513861,799509,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,S,150,150,,,,,4800818,2359444,513862,799504,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,L,92,92,,,,,4800818,2359444,513862,799505,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,XL,43,43,,,,,4800818,2359444,513862,799506,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,XS,52,52,,,,,4800818,2359444,513862,799507,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,XXS,11,11,,,,,4800818,2359444,513862,799508,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,M,155,155,,,,,4800818,2359444,513862,799509,8/13/2026 2:35:00 AM
202610,LVS,GLD5,108382, 00AD0_H127,1.1200, 9500007857,10/20/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,73,73,,,,,4792380,2355966,513515,798748,8/13/2026 2:35:00 AM
202610,LVS,GLD5,108382, 00AD0_H127,1.1200, 072903,10/22/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,419,492,,,,,4792380,2355962,513515,798748,8/13/2026 2:35:00 AM
202610,LVS,GLD5,108382, 00AD0_H127,1.1200, 9500007856,10/22/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,48,540,,,,,4792380,2355963,513515,798748,8/13/2026 2:35:00 AM
202610,LVS,GLD5,108382, 00AD0_H127,1.1200, 2100241100,10/22/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,142,682,,,,,4792380,2365115,513515,798748,8/13/2026 2:35:00 AM
202610,LVS,GLD5,108382, 00AD0_H127,1.1200, 1000654996,10/29/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,496,1178,,,,,4792380,2355969,513515,798748,8/13/2026 2:35:00 AM
202610,LVS,GLD5,108382, 00AD0_H127,1.1200, 1000654997,10/29/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,67,1245,,,,,4792380,2355970,513515,798748,8/13/2026 2:35:00 AM
202611,LVS,GLD5,108382, 00AD0_H127,1.1200, 1000658372,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,350,1595,,,,,4792380,2364040,513515,798748,8/13/2026 2:35:00 AM
202611,LVS,GLD5,108382, 00AD0_H127,1.1200, 2100245983,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,165,1760,,,,,4792380,2365128,513515,798748,8/13/2026 2:35:00 AM
202611,LVS,GLD5,108382, 00AD0_H127,1.1200, 2100248515,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,358,2118,,,,,4792380,2365141,513515,798748,8/13/2026 2:35:00 AM
202611,LVS,GLD5,108382, 00AD0_H127,1.1200, 2100248524,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,S,91,2209,,,,,4792380,2365142,513515,798748,8/13/2026 2:35:00 AM
